N,S,contacts_nat,contacts_amyloid,alpha_sigma,alpha_D_only,alpha_gamma_only,alpha_Deq,alpha_gammaeq,alpha_Q,delta_pct,early_sigma,early_D_only,early_gamma_only,early_Deq,early_gammaeq
20,6,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.8231,39.25,YES,NO,NO,YES,YES
20,6,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.8500,41.18,YES,NO,NO,YES,YES
20,6,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.8652,42.21,YES,NO,NO,YES,YES
20,6,12,8,0.5874,1.0000,1.0000,0.5000,0.6522,0.9500,38.17,YES,NO,NO,YES,YES
20,6,12,10,0.5256,1.0000,1.0000,0.5000,0.5455,0.8955,41.30,YES,NO,NO,YES,YES
20,6,12,14,0.4783,1.0000,1.0000,0.5000,0.4615,0.8115,41.06,YES,NO,NO,YES,YES
20,8,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.8007,37.55,YES,NO,NO,YES,YES
20,8,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.8257,39.45,YES,NO,NO,YES,YES
20,8,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.8399,40.47,YES,NO,NO,YES,YES
20,8,12,8,0.5874,1.0000,1.0000,0.5000,0.6522,0.9257,36.54,YES,NO,NO,YES,YES
20,8,12,10,0.5256,1.0000,1.0000,0.5000,0.5455,0.8712,39.66,YES,NO,NO,YES,YES
20,8,12,14,0.4783,1.0000,1.0000,0.5000,0.4615,0.7873,39.24,YES,NO,NO,YES,YES
20,10,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.7843,36.25,YES,NO,NO,YES,YES
20,10,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.8080,38.12,YES,NO,NO,YES,YES
20,10,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.8214,39.13,YES,NO,NO,YES,YES
20,10,12,8,0.5874,1.0000,1.0000,0.5000,0.6522,0.9080,35.31,YES,NO,NO,YES,YES
20,10,12,10,0.5256,1.0000,1.0000,0.5000,0.5455,0.8535,38.42,YES,NO,NO,YES,YES
20,10,12,14,0.4783,1.0000,1.0000,0.5000,0.4615,0.7696,37.85,YES,NO,NO,YES,YES
30,6,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.7897,36.68,YES,NO,NO,YES,YES
30,6,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.8231,39.25,YES,NO,NO,YES,YES
30,6,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.8429,40.68,YES,NO,NO,YES,YES
